index,label,gesture_name
0,2,palm_release_down
1,2,palm_release_down
2,2,palm_release_down
3,2,palm_release_down
4,2,palm_release_down
5,2,palm_release_down
6,2,palm_release_down
7,2,palm_release_down
8,2,palm_release_down
9,2,palm_release_down
10,2,palm_release_down
11,2,palm_release_down
12,2,palm_release_down
13,2,palm_release_down
14,2,palm_release_down
15,2,palm_release_down
16,2,palm_release_down
17,2,palm_release_down
18,2,palm_release_down
19,2,palm_release_down
20,2,palm_release_down
21,2,palm_release_down
22,2,palm_release_down
23,2,palm_release_down
24,2,palm_release_down
25,2,palm_release_down
26,2,palm_release_down
27,2,palm_release_down
28,2,palm_release_down
29,2,palm_release_down
30,2,palm_release_down
31,2,palm_release_down
32,2,palm_release_down
